"kabupaten_kota";"jumlah_pergerakan_wisatawan_nusantara";"jumlah_pergerakan_wisatawan_mancanegara";"periode_update"
"Jember";"70030";"110";"Agustus 2018"
"Jombang";"85654";"0";"Agustus 2018"
"Kediri";"251592";"63";"Agustus 2018"
"Lamongan";"147565";"5";"Agustus 2018"
"Lumajang";"98375";"1305";"Agustus 2018"
"Madiun";"37345";"0";"Agustus 2018"
"Magetan";"65434";"0";"Agustus 2018"
"Malang";"82383";"577";"Agustus 2018"
"Mojokerto";"109861";"52";"Agustus 2018"
"Nganjuk";"39374";"0";"Agustus 2018"
"Ngawi";"30711";"5";"Agustus 2018"
"Pacitan";"89150";"183";"Agustus 2018"
"Pamekasan";"25598";"0";"Agustus 2018"
"Pasuruan";"230867";"1602";"Agustus 2018"
"Ponorogo";"32056";"2";"Agustus 2018"
"Probolinggo";"59751.495";"5622.505";"Agustus 2018"
"Sampang";"31902";"0";"Agustus 2018"
"Sidoarjo";"115428";"396";"Agustus 2018"
"Situbondo";"35449";"310";"Agustus 2018"
"Sumenep";"72011";"130";"Agustus 2018"
"Trenggalek";"28804";"0";"Agustus 2018"
"Tuban";"425883";"74";"Agustus 2018"
"Tulungagung";"57623";"4";"Agustus 2018"
"Kota Batu";"298269";"428";"Agustus 2018"
"Kota Blitar";"279593";"135";"Agustus 2018"
"Kota Kediri";"7857";"0";"Agustus 2018"
"Kota Madiun";"6251";"0";"Agustus 2018"
"Kota Malang";"169914";"8274";"Agustus 2018"
"Kota Mojokerto";"22660";"0";"Agustus 2018"
"Kota Pasuruan";"30109";"4";"Agustus 2018"
"Kota Probolinggo";"71598";"119";"Agustus 2018"
"Kota Surabaya";"623202";"7099";"Agustus 2018"
"Bangkalan";"145297";"0";"Juli 2018"
"Banyuwangi";"541139";"12442";"Juli 2018"
"Blitar";"240963";"132";"Juli 2018"
"Bojonegoro";"33151";"0";"Juli 2018"
"Bondowoso";"35038";"5677";"Juli 2018"
"Gresik";"311723";"1476";"Juli 2018"
"Jember";"83834";"125";"Juli 2018"
"Jombang";"117823";"0";"Juli 2018"
"Kediri";"664773";"78";"Juli 2018"
"Lamongan";"206172";"14";"Juli 2018"
"Lumajang";"120662";"889";"Juli 2018"
"Madiun";"73329";"0";"Juli 2018"
"Magetan";"124746";"0";"Juli 2018"
"Malang";"451416";"238";"Juli 2018"
"Mojokerto";"163230";"56";"Juli 2018"
"Nganjuk";"46899";"0";"Juli 2018"
"Ngawi";"44205";"5";"Juli 2018"
"Pacitan";"213380";"163";"Juli 2018"
"Pamekasan";"42337";"0";"Juli 2018"
"Pasuruan";"230867";"1585";"Juli 2018"
"Ponorogo";"46134";"10";"Juli 2018"
"Probolinggo";"78221.975";"5145.025";"Juli 2018"
"Sampang";"31535";"0";"Juli 2018"
"Sidoarjo";"216766";"633";"Juli 2018"
"Situbondo";"47787";"223";"Juli 2018"
"Sumenep";"83830";"276";"Juli 2018"
"Trenggalek";"60385";"0";"Juli 2018"
"Tuban";"568988";"67";"Juli 2018"
"Tulungagung";"123267";"42";"Juli 2018"
"Kota Batu";"501724";"1057";"Juli 2018"
"Kota Blitar";"314949";"83";"Juli 2018"
"Kota Kediri";"9399";"0";"Juli 2018"
"Kota Madiun";"9243";"0";"Juli 2018"
"Kota Malang";"198309";"62";"Juli 2018"
"Kota Mojokerto";"22204";"0";"Juli 2018"
"Kota Pasuruan";"26038";"3";"Juli 2018"
"Kota Probolinggo";"145159";"110";"Juli 2018"
"Kota Surabaya";"751360";"7168";"Juli 2018"
"Bangkalan";"163451";"25";"September 2018"
"Banyuwangi";"378652";"13357";"September 2018"
"Blitar";"144657";"146";"September 2018"
"Bojonegoro";"27214";"0";"September 2018"
"Bondowoso";"34009";"4721";"September 2018"
"Gresik";"299957";"3549";"September 2018"
"Jember";"68369";"108";"September 2018"
"Jombang";"161507";"0";"September 2018"
"Kediri";"170941";"55";"September 2018"
"Lamongan";"182878";"32";"September 2018"
"Lumajang";"99997";"982";"September 2018"
"Madiun";"33932";"0";"September 2018"
"Magetan";"76968";"0";"September 2018"
"Malang";"137485";"295";"September 2018"
"Mojokerto";"164338";"45";"September 2018"
"Nganjuk";"53877";"0";"September 2018"
"Ngawi";"38005";"2";"September 2018"
"Pacitan";"106066";"121";"September 2018"
"Pamekasan";"25400";"0";"September 2018"
"Pasuruan";"230866";"1585";"September 2018"
"Ponorogo";"60499";"75";"September 2018"
"Probolinggo";"58046";"4262";"September 2018"
"Sampang";"32964";"0";"September 2018"
"Sidoarjo";"107491";"740";"September 2018"
"Situbondo";"35882";"220";"September 2018"
"Sumenep";"140885";"538";"September 2018"
"Trenggalek";"91485";"0";"September 2018"
"Tuban";"824354";"63";"September 2018"
"Tulungagung";"83086";"5";"September 2018"
"Kota Batu";"309755";"997";"September 2018"
"Kota Blitar";"270750";"104";"September 2018"
"Kota Kediri";"9525";"0";"September 2018"
"Kota Madiun";"8545";"0";"September 2018"
"Kota Malang";"184136";"8238";"September 2018"
"Kota Mojokerto";"22778";"0";"September 2018"
